connection_type,functions,matrix,model,screen
" HDMI, DisplayPort", VGA," TN+film, відгук 5мс, 60Гц","Монітор Acer V226HQLb 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Dell P2421 24 """, 5120x1440 (32:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор AOC U2790PQU 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," відгук 8мс, 60Гц","Монітор Dell P3221D 32 """, 2560x1440 (16:9)
" VGA, HDMI", Flicker-Free," TN+film, відгук 1мс, 60Гц","Монітор Samsung S24D330H 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," AH-IPS, відгук 5мс, 60Гц","Монітор LG 24UD58 24 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI-D, HDMI, DisplayPort"," *VA, відгук 8мс, 60Гц","Монітор NEC UN462VA 46 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," VGA, HDMI"," TN+film, відгук 1мс, 76Гц","Монітор Asus VS278H 27 """, 1920x1080 (16:9)
 HDMI, HDMI, 60Гц,"Монітор NEC SV Reference 242 24 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI"," *VA, відгук 8мс, 85Гц","Монітор NEC V551 55 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI-D, HDMI"," E-IPS, відгук 9мс","Монітор Panasonic TH-47LF30 47 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," відгук 6мс, 60Гц","Монітор Newline TWB-IC65 65 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Philips 242E1GAEZ 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Viewsonic VG2748 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort", HDR," IPS, відгук 6мс, 60Гц","Монітор Samsung QE82N 82 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ PD3200U 32 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, Flicker-Free"," *VA, відгук 5мс, 144Гц","Монітор LG 32GK850F 32 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Philips 275E2FAE 27 """, 2560x1440 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Iiyama ProLite XUB2792QSU 27 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор HP Z24nf G2 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 100Гц","Монітор MSI Optix MAG342CQRV 34 """, 3440x1440 (21:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 3мс, 144Гц","Монітор Asus VG279Q 27 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ GW2283 22 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 75Гц","Монітор AOC Q27T1 27 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," TN+film, відгук 1мс, 180Гц","Монітор HP E202 20 """, 1920x1080 (16:9)
 HDMI," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор Asus TUF Gaming VG27VQ 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 4мс, 144Гц","Монітор Acer Nitro VG271USbmiipx 27 """, 2560x1440 (16:9)
" VGA, DVI-D", Flicker-Free," TN+film, відгук 1мс, 60Гц","Монітор Samsung S22E45KBSV 22 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Iiyama ProLite XU2395WSU-B1 23 """, 1920x1200 (16:10)
" VGA, DVI-D, HDMI"," VGA, DVI-D, HDMI, DisplayPort"," *VA, відгук 8мс, 60Гц","Монітор NEC UN552A 55 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," HDMI, DisplayPort, USB C"," IPS, відгук 7мс, 75Гц","Монітор Asus VS247H 24 """, 3840x1600 (21:9)
" VGA, HDMI"," VGA, HDMI"," *VA, відгук 8мс, 60Гц","Монітор NEC SV302 30 """, 3840x2160 (16:9)
" VGA, DVI-D, HDMI"," VGA, DVI-D, HDMI"," *VA, 85Гц","Монітор NEC V463 46 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI-D, HDMI"," E-IPS, відгук 9мс","Монітор Panasonic TH-47LF25ER 47 """, 1920x1080 (16:9)
 DisplayPort," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Asus TUF Gaming VG328H1B 32 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," *VA, відгук 7мс, 75Гц","Монітор AOC 22B2H 22 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор Asus VG255H 25 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," DVI-D, HDMI"," відгук 8мс, 60Гц","Монітор Samsung QB75N 75 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор BenQ PD2705Q 27 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync, HDR, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор LG 27GN600 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 1мс, 175Гц","Монітор Asus ROG Swift PG329Q 32 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Acer Nitro VG220Q 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 1мс, 180Гц","Монітор QUBE Overlord P27Q180 27 """, 2560x1440 (16:9)
 HDMI," AMD FreeSync, HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор LG 29WL500 29 """, 2560x1080 (21:9)
" VGA, HDMI, DisplayPort, USB C"," HDR, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Philips 328P6AUBREB 32 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," *VA, відгук 5мс, 60Гц","Монітор Philips 223V5LSB2 22 """, 1920x1080 (16:9)
" VGA, DVI, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 240Гц","Монітор Acer KG251QDbmiipx 25 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," *VA, відгук 4мс, 75Гц","Монітор Dell U4919DW 49 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Iiyama G-Master G2230HS-B1 22 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Acer KA272BI 27 """, 1920x1080 (16:9)
" VGA, DVI-D", Flicker-Free," TN+film, відгук 5мс, 60Гц","Монітор Samsung S22E450MW 22 """, 1680x1050 (16:10)
" VGA, DVI-D, HDMI, DisplayPort"," VGA, HDMI"," AH-IPS, відгук 6мс","Монітор Dell S2216H 22 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI, DisplayPort"," S-IPS, відгук 12мс, 85Гц","Монітор NEC X555UNV 55 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," відгук 4мс, 75Гц","Монітор Lenovo D32qc-20 32 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," *VA, відгук 4мс, 75Гц","Монітор Iiyama ProLite XB2474HS-B1 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 144Гц","Монітор Acer Nitro XV272UPbmiiprzx 27 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," VGA, DVI-D, HDMI"," відгук 12мс, 63Гц","Монітор Bosch UML-273-90 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, mini DisplayPort, USB C"," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 5мс, 100Гц","Монітор Viewsonic VP3881 38 """, 3440x1440 (21:9)
" HDMI, USB C"," VGA, HDMI, DisplayPort"," відгук 8мс, 60Гц","Монітор BenQ ST750K 75 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI"," *VA, відгук 8мс, 85Гц","Монітор NEC V462 46 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI", відгук 9мс,"Монітор Panasonic TH-47LF20W 47 """, 1920x1080 (16:9)
 HDMI," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Dell S2721H 27 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 60Гц","Монітор Asus VG275Q 27 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," DVI-D, HDMI, DisplayPort"," відгук 8мс, 60Гц","Монітор Samsung QB65H 65 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C"," HDR, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Iiyama G-Master GB3466WQSU-B1 34 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 5мс, 144Гц","Монітор LG 27GL650F 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Dell U2520D 25 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, HDR, Flicker-Free"," IPS, відгук 2мс, 144Гц","Монітор BenQ Mobiuz EX2510 25 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 1мс, 144Гц","Монітор QUBE Overlord C34UQ144 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Philips 278E1A 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C"," VGA, HDMI"," IPS, відгук 5мс, 60Гц","Монітор HP 32s 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор AOC 24B1H 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор AOC AGON AG322QC4 31 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор Asus ROG Swift PG248Q 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ EW2780 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 5мс, 144Гц","Монітор LG 34GL750 34 """, 2560x1080 (21:9)
" VGA, DVI-D", Flicker-Free," TN+film, відгук 5мс, 60Гц","Монітор Samsung S22E450BW 22 """, 1680x1050 (16:10)
" VGA, DVI-D, HDMI", Flicker-Free," TN+film, відгук 1мс, 144Гц","Монітор BenQ Zowie XL2720 27 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI, DisplayPort"," S-IPS, відгук 12мс, 85Гц","Монітор NEC X555UNS 55 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Acer ConceptD CM2241W 24 """, 1920x1200 (16:10)
" VGA, HDMI, DisplayPort"," DVI-D, HDMI, DisplayPort"," *VA, відгук 5мс, 60Гц","Монітор Iiyama ProLite TF2738MSC-B1 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 165Гц","Монітор Iiyama G-Master GB2470HSU-B1 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," OLED, відгук 1мс, 60Гц","Монітор LG UltraFine 27BP95E 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort, mini DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор Viewsonic VP3481 34 """, 1920x1080 (16:9)
" VGA, HDMI"," VGA, HDMI"," IPS, відгук 5мс, 60Гц","Монітор BenQ ST650K 65 """, 1920x1080 (16:9)
" VGA, HDMI"," VGA, DVI-D, HDMI"," S-IPS, відгук 12мс, 85Гц","Монітор NEC V423 42 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI-D, HDMI"," IPS, відгук 8мс","Монітор Panasonic TH-42SF1HW 42 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 165Гц","Монітор Acer KG241QSbiip 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Viewsonic VG2455 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," DVI-D, HDMI"," відгук 8мс, 60Гц","Монітор Samsung QB43R 43 """, 3840x2160 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 7мс, 60Гц","Монітор AOC E2270Swn 22 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, HDMI"," ADS-IPS, відгук 5мс, 60Гц","Монітор 2E F2720B 27 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 75Гц","Монітор Samsung C27T550FDI 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, Flicker-Free"," IPS, відгук 4мс, 144Гц","Монітор Gigabyte G27Q 27 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI"," VGA, HDMI, DisplayPort"," AH-IPS, відгук 6мс, 60Гц","Монітор AOC E2270Swhn 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell P2421D 24 """, 2560x1440 (16:9)
" VGA, HDMI"," HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор AOC U32U1 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," HDR, PBP, Flicker-Free"," IPS, відгук 8мс, 60Гц","Монітор Iiyama G-Master G2466HSU-B1 24 """, 5120x2160 (21:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 75Гц","Монітор LG 24BK550Y 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Iiyama ProLite XB2783HSU-B3 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор HP E223d 22 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор LG 32UK550 32 """, 3840x2160 (16:9)
" VGA, HDMI", Flicker-Free," *VA, відгук 4мс, 60Гц","Монітор Lenovo S22e 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," TN+film, відгук 1мс, 60Гц","Монітор BenQ Zowie RL2755 27 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI"," VGA, DVI-D, HDMI, DisplayPort"," *VA, відгук 8мс, 85Гц","Монітор NEC X554UNS 55 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 16мс, 60Гц","Монітор Eizo ColorEdge CS2731 27 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," TN+film, відгук 1мс, 75Гц","Монітор Iiyama ProLite E2483HSU-B5 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 1мс, 75Гц","Монітор Philips 272E1SA 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, DVI-D, HDMI, DisplayPort"," відгук 8мс, 75Гц","Монітор Samsung UH55F 55 """, 1920x1080 (16:9)
" VGA, HDMI"," HDR, Flicker-Free"," AH-IPS, відгук 5мс, 60Гц","Монітор Asus VP278QG 27 """, 3840x2160 (16:9)
" VGA, HDMI"," VGA, HDMI"," TN+film, відгук 3мс, 75Гц","Монітор BenQ SL5502K 55 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI"," S-IPS, відгук 8мс, 85Гц","Монітор NEC V323-2 PG 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI-D, HDMI"," IPS, відгук 12мс","Монітор Panasonic TH-42LF60 42 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," PLS, відгук 5мс, 75Гц","Монітор 2E D2420B 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," *VA, відгук 5мс, 60Гц","Монітор Viewsonic VG2239Smh 22 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", HDMI," ADS-IPS, відгук 8мс","Монітор Samsung QB13R 13 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор LG 27QN880 27 """, 3840x2160 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," *VA, відгук 5мс, 144Гц","Монітор AOC CQ27G2U 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Philips 279C9 27 """, 3840x2160 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор Samsung C24F396F 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор NEC E241N 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор QUBE Overlord C27F165 27 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell E2420HS 24 """, 1920x1080 (16:9)
 HDMI," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор MSI Prestige PS341WU 34 """, 1920x1080 (16:9)
" HDMI, DisplayPort, інтерфейс Thunderbolt"," AMD FreeSync Premium, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор Philips 200V4QSBR 20 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Acer KG241bmiix 24 """, 1920x1200 (16:10)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор AOC CQ32G1 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор BenQ EW3270U 32 """, 3840x2160 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", VGA," TN+film, відгук 5мс","Монітор Samsung S22D300NY 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP Z38c 38 """, 3840x1600 (21:9)
" HDMI, DisplayPort, USB C", HDMI," IPS, відгук 14мс, 72Гц","Монітор Eizo ColorEdge CG248-4K 24 """, 3840x2160 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," TN+film, відгук 1мс, 60Гц","Монітор Iiyama ProLite E2482HS 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 144Гц","Монітор Asus TUF Gaming VG259Q 25 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," DVI-D, HDMI, DisplayPort"," відгук 8мс, 75Гц","Монітор Samsung UH46F5 46 """, 1920x1080 (16:9)
" VGA, HDMI"," VGA, DVI-D, HDMI, mini DisplayPort, USB B"," S-IPS, відгук 12мс, 75Гц","Монітор Viewsonic VP2785-4K 27 """, 2560x1440 (16:9)
" VGA, DVI-D, DisplayPort"," VGA, HDMI"," TN+film, відгук 3мс, 60Гц","Монітор Neovo SC-24E 24 """, 1366x768 (16:9)
" VGA, HDMI"," VGA, DVI-D, HDMI"," S-IPS, відгук 8мс, 85Гц","Монітор NEC V323-2 32 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI"," IPS, відгук 8мс, 60Гц","Монітор Panasonic TH-55AF1 55 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор LG 32UN500 32 """, 3840x2160 (16:9)
" VGA, HDMI"," HDMI, USB C"," IPS, відгук 7мс, 60Гц","Монітор Viewsonic VG1655 16 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор AOC Q32V4 32 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," AH-IPS, відгук 5мс, 75Гц","Монітор AOC 27B1H 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Acer Nitro VG240Y 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор LG 32UN880 32 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Iiyama ProLite XUB2395WSU-B1 23 """, 1920x1200 (16:10)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 7мс, 60Гц","Монітор Philips 271E1SD 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 4мс, 165Гц","Монітор Asus TUF Gaming VG27AQ 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Iiyama ProLite XUB2493HS-B1 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," відгук 4мс, 75Гц","Монітор Iiyama G-Master G2440HSU-B1 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор AOC G2460PF 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор AOC C24G2AE 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Philips 243B1JH 24 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор LG 27UL500 27 """, 3840x2160 (16:9)
" VGA, DVI-D, HDMI"," DisplayPort, USB C"," IPS, відгук 5мс, 60Гц","Монітор HP S14 14 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP Z31x 31 """, 4096x2160 (19:10)
" VGA, DVI-D, HDMI, DisplayPort"," DVI-D, HDMI"," IPS, відгук 8мс, 71Гц","Монітор Eizo ColorEdge CG247 24 """, 1920x1200 (16:10)
" HDMI, DisplayPort, інтерфейс Thunderbolt"," AMD FreeSync, PBP, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор Iiyama ProLite B2875UHSU-B1 28 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Philips 327E8QJAB 32 """, 1920x1080 (16:9)
" HDMI, mini DisplayPort"," VGA, DVI-D, HDMI"," *VA, відгук 4мс","Монітор Samsung UE46C 46 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Viewsonic VP2772 27 """, 3840x2160 (16:9)
" VGA, DVI-D", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Neovo SC-22 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort, mini DisplayPort"," VGA, DVI-D, HDMI, DisplayPort"," S-IPS, відгук 8мс, 85Гц","Монітор NEC V323 32 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," *VA, відгук 25мс, 60Гц","Монітор Viewsonic TD2430 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор LG 29WN600 29 """, 2560x1080 (21:9)
" VGA, DVI-D, HDMI"," VGA, DVI-D"," TN+film, відгук 5мс, 76Гц","Монітор Asus VE228T 22 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор AOC Q32P2 32 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," відгук 4мс, 144Гц","Монітор Philips 272P7VPTKEB 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell P2720D 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор Philips 328E1CA 32 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell P2419H 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," IPS, відгук 4мс, 60Гц","Монітор AOC 24B1XH 24 """, 3840x2160 (16:9)
