connection_type,functions,matrix,model,screen
" DVI-D, HDMI, DisplayPort", HDR," IPS, 60Гц","Монітор Apple Pro Display XDR 32 """, 6016x3384 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор AOC U27P2 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Philips 329P1H 32 """, 3840x2160 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 240Гц","Монітор BenQ Zowie XL2540 25 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 276E9QDSB 27 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Samsung S24R356FHI 24 """, 1920x1080 (16:9)
 HDMI," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор LG 32MN500M 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 1мс, 240Гц","Монітор Acer Predator XB273GXbmiiprzx 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Iiyama ProLite XUB2792UHSU-B1 27 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 14мс, 60Гц","Монітор Lenovo E24-20 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Philips 242S1AE 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 100Гц","Монітор AOC CU34G2 34 """, 3440x1440 (21:9)
" VGA, DVI-D, HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Philips 272B1G 27 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 75Гц","Монітор MSI PRO MP242 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор AOC Q27P1 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," VGA, HDMI"," TN+film, відгук 2мс, 60Гц","Монітор Samsung S24D300H 24 """, 1920x1080 (16:9)
" VGA, HDMI"," HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор Philips 326M6VJRMB 32 """, 3840x2160 (16:9)
